sample_id,user_id,age,gender,user_tag,initial_need,date,time,hour,weekday,date_type,time_slot,place_type,activity_state,heart_rate_zone,heart_rate_bpm,heart_rate_trend,sleep_minutes_last_night,sleep_quality,recent_workout_minutes_24h,breathing_rate,steps_last_10min,weather,light_lux,light_class,noise_db,noise_class,bluetooth,network,calendar_title,calendar_start_time,calendar_location,calendar_note,app_event,dwell_time_sec,next_action,user_correction_from,user_correction_to,multiday_consistency,conflict_flag,conflict_reason,confusable_group,ground_truth,ground_truth_id,gt_confidence,context_text
s00494,user_03,28,女性,女性,情绪和身体舒缓,2026-05-15,08:24,8,周五,工作日,早晨,酒店,静止,稍高,102,波动,410,差,13,15,30,阴,99,室内柔光,29,安静,家用音响,蜂窝数据,经期提醒,2026-05-15 08:24,酒店,经期提醒,健康App经期记录,3966,调低音量,,,0.739,False,,人群专属,经期舒缓,12,0.92,"周五 早晨 08:24，地点类型=酒店，运动状态=静止，心率=稍高(102bpm,波动)，天气=阴，光线=室内柔光，噪音=安静，蓝牙=家用音响，网络=蜂窝数据，日历=经期提醒，后续事件=健康App经期记录"
s00507,user_23,23,女性,女性,情绪和身体舒缓,2026-05-02,08:46,8,周六,周末,早晨,酒店,静止,静息,66,稳定,264,一般,30,20,24,多云,326,室内柔光,29,安静,家用音响,wifi,经期提醒,2026-05-02 08:46,酒店,经期提醒,健康App经期记录,2824,收藏,,,0.804,False,,人群专属,经期舒缓,12,0.92,"周六 早晨 08:46，地点类型=酒店，运动状态=静止，心率=静息(66bpm,稳定)，天气=多云，光线=室内柔光，噪音=安静，蓝牙=家用音响，网络=wifi，日历=经期提醒，后续事件=健康App经期记录"
s00130,user_05,20,女性,学生,学习专注,2026-05-05,08:55,8,周二,工作日,早晨,高铁站,静止,静息,76,波动,327,一般,23,10,18,阴,531,明亮,87,嘈杂,耳机,蜂窝数据（弱）,上班,2026-05-05 08:55,高铁站,上班,打车App打开,24,继续播放,宠物陪伴,通勤,0.5,False,,通勤,通勤,3,0.82,"周二 早晨 08:55，地点类型=高铁站，运动状态=静止，心率=静息(76bpm,波动)，天气=阴，光线=明亮，噪音=嘈杂，蓝牙=耳机，网络=蜂窝数据（弱），日历=上班，后续事件=打车App打开"
s00206,user_05,24,男性,学生,学习专注,2026-05-14,16:23,16,周四,工作日,下午,酒店,静止,静息,72,稳定,287,差,11,12,1,晴,157,室内柔光,51,普通,耳机,wifi,项目截止,2026-05-14 16:23,酒店,项目截止,办公App前台,3704,切歌,,,0.855,False,,图书馆/专注/阅读,专注,5,0.92,"周四 下午 16:23，地点类型=酒店，运动状态=静止，心率=静息(72bpm,稳定)，天气=晴，光线=室内柔光，噪音=普通，蓝牙=耳机，网络=wifi，日历=项目截止，后续事件=办公App前台"
s00015,user_02,37,女性,任意,日常音乐推荐,2026-05-05,15:18,15,周二,工作日,下午,住宅区,慢速,稍高,82,上升,250,一般,28,21,150,阴,255,室内柔光,38,安静,家用音响,wifi,无安排,2026-05-05 15:18,住宅区,无安排,,2334,切歌,,,0.451,False,,放松/减压/深夜EMO,放松,0,0.92,"周二 下午 15:18，地点类型=住宅区，运动状态=慢速，心率=稍高(82bpm,上升)，天气=阴，光线=室内柔光，噪音=安静，蓝牙=家用音响，网络=wifi，日历=无安排"
s00618,user_01,35,女性,女性,情绪和身体舒缓,2026-04-30,08:50,8,周四,工作日,早晨,公园,慢速,静息,65,稳定,302,差,18,21,235,晴,497,明亮,28,安静,家用音响,蜂窝数据,拉伸,2026-04-30 08:50,公园,拉伸,健身App瑜伽课程,1885,无,,,0.533,False,,瑜伽/冥想,瑜伽,15,0.92,"周四 早晨 08:50，地点类型=公园，运动状态=慢速，心率=静息(65bpm,稳定)，天气=晴，光线=明亮，噪音=安静，蓝牙=家用音响，网络=蜂窝数据，日历=拉伸，后续事件=健身App瑜伽课程"
s00427,user_20,24,女性,女性,情绪和身体舒缓,2026-04-29,19:33,19,周三,工作日,晚上,酒店,静止,静息,57,下降,295,差,17,17,62,多云,649,明亮,35,安静,耳机,wifi,产检,2026-04-29 19:33,酒店,产检,孕期App打开,2773,收藏,,,0.676,False,,人群专属,胎教,10,0.92,"周三 晚上 19:33，地点类型=酒店，运动状态=静止，心率=静息(57bpm,下降)，天气=多云，光线=明亮，噪音=安静，蓝牙=耳机，网络=wifi，日历=产检，后续事件=孕期App打开"
s00614,user_01,28,男性,任意,日常音乐推荐,2026-04-22,20:16,20,周三,工作日,晚上,住宅区,静止,静息,58,波动,380,一般,93,16,31,阴,76,室内柔光,39,安静,耳机,wifi,拉伸,2026-04-22 20:16,住宅区,拉伸,健身App瑜伽课程,2108,切歌,,,0.777,False,,瑜伽/冥想,瑜伽,15,0.92,"周三 晚上 20:16，地点类型=住宅区，运动状态=静止，心率=静息(58bpm,波动)，天气=阴，光线=室内柔光，噪音=安静，蓝牙=耳机，网络=wifi，日历=拉伸，后续事件=健身App瑜伽课程"
s00530,user_21,30,男性,母婴用户,家庭睡眠照护,2026-04-21,14:33,14,周二,工作日,下午,住宅区,静止,静息,56,上升,429,差,5,11,5,晴,302,室内柔光,58,普通,家用音响,wifi,,,,,闹钟设置,3610,继续播放,,,0.803,False,,深睡眠/睡午觉/婴儿安睡,睡午觉,13,0.92,"周二 下午 14:33，地点类型=住宅区，运动状态=静止，心率=静息(56bpm,上升)，天气=晴，光线=室内柔光，噪音=普通，蓝牙=家用音响，网络=wifi，后续事件=闹钟设置"
s00014,user_14,31,女性,任意,日常音乐推荐,2026-05-08,21:28,21,周五,工作日,晚上,住宅区,慢速,稍高,87,波动,550,一般,19,10,403,晴,20,暗光,46,普通,家用音响,wifi,无安排,2026-05-08 21:28,住宅区,无安排,短视频退出后停留,948,调低音量,,,0.383,False,,放松/减压/深夜EMO,放松,0,0.92,"周五 晚上 21:28，地点类型=住宅区，运动状态=慢速，心率=稍高(87bpm,波动)，天气=晴，光线=暗光，噪音=普通，蓝牙=家用音响，网络=wifi，日历=无安排，后续事件=短视频退出后停留"
s00542,user_11,33,女性,女性,情绪和身体舒缓,2026-05-23,14:11,14,周六,周末,下午,住宅区,静止,静息,57,上升,233,差,2,11,60,多云,32,暗光,52,普通,家用音响,wifi,,,,,屏幕熄灭后持续播放,4503,继续播放,,,0.558,False,,深睡眠/睡午觉/婴儿安睡,睡午觉,13,0.92,"周六 下午 14:11，地点类型=住宅区，运动状态=静止，心率=静息(57bpm,上升)，天气=多云，光线=暗光，噪音=普通，蓝牙=家用音响，网络=wifi，后续事件=屏幕熄灭后持续播放"
s00200,user_09,42,男性,养宠物,陪伴和放松,2026-05-22,21:37,21,周五,工作日,晚上,酒店,静止,波动,135,稳定,242,一般,33,22,77,晴,7,暗光,56,普通,耳机,蜂窝数据,休息,2026-05-22 21:37,酒店,休息,游戏App前台,6973,调低音量,,,0.927,False,,游戏,游戏,4,0.92,"周五 晚上 21:37，地点类型=酒店，运动状态=静止，心率=波动(135bpm,稳定)，天气=晴，光线=暗光，噪音=普通，蓝牙=耳机，网络=蜂窝数据，日历=休息，后续事件=游戏App前台"
s00613,user_16,23,女性,学生,学习专注,2026-05-08,08:06,8,周五,工作日,早晨,公园,慢速,稍高,109,下降,352,好,22,19,310,晴,293,室内柔光,44,安静,耳机,wifi,拉伸,2026-05-08 08:06,公园,拉伸,健身App瑜伽课程,3368,无,,,0.673,False,,瑜伽/冥想,瑜伽,15,0.92,"周五 早晨 08:06，地点类型=公园，运动状态=慢速，心率=稍高(109bpm,下降)，天气=晴，光线=室内柔光，噪音=安静，蓝牙=耳机，网络=wifi，日历=拉伸，后续事件=健身App瑜伽课程"
s00234,user_18,33,女性,母婴用户,家庭睡眠照护,2026-04-28,16:32,16,周二,工作日,下午,写字楼,静止,静息,56,下降,529,一般,13,14,19,小雨,1179,明亮,31,安静,耳机,wifi,提交报告,2026-04-28 16:32,写字楼,提交报告,番茄钟开始,4384,收藏,,,0.779,False,,图书馆/专注/阅读,专注,5,0.92,"周二 下午 16:32，地点类型=写字楼，运动状态=静止，心率=静息(56bpm,下降)，天气=小雨，光线=明亮，噪音=安静，蓝牙=耳机，网络=wifi，日历=提交报告，后续事件=番茄钟开始"
s00081,user_17,20,男性,学生,学习专注,2026-05-07,07:08,7,周四,工作日,早晨,写字楼,中速,高,146,稳定,461,差,84,11,1296,多云,1184,明亮,47,普通,耳机,wifi,健身课,2026-05-07 07:08,写字楼,健身课,健身记录开始,1755,调低音量,,,0.793,False,,健身/跑步,健身,2,0.92,"周四 早晨 07:08，地点类型=写字楼，运动状态=中速，心率=高(146bpm,稳定)，天气=多云，光线=明亮，噪音=普通，蓝牙=耳机，网络=wifi，日历=健身课，后续事件=健身记录开始"
s00611,user_09,42,男性,养宠物,陪伴和放松,2026-05-08,08:38,8,周五,工作日,早晨,住宅区,静止,稍高,95,稳定,237,一般,8,13,4,多云,88,室内柔光,45,安静,耳机,wifi,拉伸,2026-05-08 08:38,住宅区,拉伸,健身App瑜伽课程,83,调低音量,深夜EMO,瑜伽,0.792,False,,瑜伽/冥想,瑜伽,15,0.82,"周五 早晨 08:38，地点类型=住宅区，运动状态=静止，心率=稍高(95bpm,稳定)，天气=多云，光线=室内柔光，噪音=安静，蓝牙=耳机，网络=wifi，日历=拉伸，后续事件=健身App瑜伽课程"
s00400,user_03,35,男性,母婴用户,家庭睡眠照护,2026-05-04,12:46,12,周一,工作日,中午,酒店,慢速,稍高,83,波动,448,差,4,18,263,晴,240,室内柔光,32,安静,家用音响,wifi,哄睡,2026-05-04 12:46,酒店,哄睡,白噪音App打开,9816,发起导航,,,0.936,False,,深睡眠/睡午觉/婴儿安睡,婴儿安睡,9,0.92,"周一 中午 12:46，地点类型=酒店，运动状态=慢速，心率=稍高(83bpm,波动)，天气=晴，光线=室内柔光，噪音=安静，蓝牙=家用音响，网络=wifi，日历=哄睡，后续事件=白噪音App打开"
s00286,user_24,29,女性,母婴用户,家庭睡眠照护,2026-05-21,22:03,22,周四,工作日,深夜,住宅区,静止,静息,78,下降,316,好,7,11,44,晴,10,暗光,43,安静,耳机,wifi,,,,,睡眠记录开始,24349,发起导航,,,0.513,False,,深睡眠/睡午觉/婴儿安睡,深睡眠,7,0.92,"周四 深夜 22:03，地点类型=住宅区，运动状态=静止，心率=静息(78bpm,下降)，天气=晴，光线=暗光，噪音=安静，蓝牙=耳机，网络=wifi，后续事件=睡眠记录开始"
s00204,user_15,37,女性,任意,日常音乐推荐,2026-05-19,10:31,10,周二,工作日,上午,酒店,静止,稍高,87,波动,556,差,33,10,31,晴,845,明亮,32,安静,耳机,蜂窝数据,项目截止,2026-05-19 10:31,酒店,项目截止,番茄钟开始,3934,切歌,,,0.604,False,,图书馆/专注/阅读,专注,5,0.92,"周二 上午 10:31，地点类型=酒店，运动状态=静止，心率=稍高(87bpm,波动)，天气=晴，光线=明亮，噪音=安静，蓝牙=耳机，网络=蜂窝数据，日历=项目截止，后续事件=番茄钟开始"
s00089,user_19,21,女性,学生,学习专注,2026-05-20,18:31,18,周三,工作日,晚上,商场,中速,稍高,79,下降,276,一般,23,14,1005,晴,744,明亮,76,嘈杂,耳机,蜂窝数据,力量训练,2026-05-20 18:31,商场,力量训练,健身记录开始,1475,调低音量,,,0.256,True,运动类场景但心率未达到高强度,健身/跑步,健身,2,0.74,"周三 晚上 18:31，地点类型=商场，运动状态=中速，心率=稍高(79bpm,下降)，天气=晴，光线=明亮，噪音=嘈杂，蓝牙=耳机，网络=蜂窝数据，日历=力量训练，后续事件=健身记录开始"
s00332,user_07,36,女性,女性,情绪和身体舒缓,2026-05-12,20:52,20,周二,工作日,晚上,公园,静止,稍高,85,稳定,438,差,10,20,67,晴,16,暗光,51,普通,耳机,蜂窝数据,项目截止,2026-05-12 20:52,公园,项目截止,健康App呼吸训练,3127,无,,,0.599,False,,放松/减压/深夜EMO,减压,8,0.92,"周二 晚上 20:52，地点类型=公园，运动状态=静止，心率=稍高(85bpm,稳定)，天气=晴，光线=暗光，噪音=普通，蓝牙=耳机，网络=蜂窝数据，日历=项目截止，后续事件=健康App呼吸训练"
s00713,user_23,30,女性,养宠物,陪伴和放松,2026-05-08,01:47,1,周五,工作日,凌晨,酒店,静止,稍高,101,稳定,254,好,6,15,51,晴,5,暗光,28,安静,耳机,wifi,,,,,音乐App主动播放,5878,无,,,0.754,False,,放松/减压/深夜EMO,深夜EMO,17,0.92,"周五 凌晨 01:47，地点类型=酒店，运动状态=静止，心率=稍高(101bpm,稳定)，天气=晴，光线=暗光，噪音=安静，蓝牙=耳机，网络=wifi，后续事件=音乐App主动播放"
s00609,user_12,25,女性,母婴用户,家庭睡眠照护,2026-04-30,06:01,6,周四,工作日,早晨,公园,慢速,静息,74,稳定,543,差,42,21,649,多云,1174,明亮,31,安静,家用音响,wifi,瑜伽课,2026-04-30 06:01,公园,瑜伽课,健身App瑜伽课程,1731,继续播放,,,0.717,False,,瑜伽/冥想,瑜伽,15,0.92,"周四 早晨 06:01，地点类型=公园，运动状态=慢速，心率=静息(74bpm,稳定)，天气=多云，光线=明亮，噪音=安静，蓝牙=家用音响，网络=wifi，日历=瑜伽课，后续事件=健身App瑜伽课程"
s00701,user_21,34,女性,养宠物,陪伴和放松,2026-04-26,23:17,23,周日,周末,深夜,酒店,静止,稍高,103,波动,388,差,14,20,73,小雨,7,暗光,43,安静,耳机,wifi,失眠,2026-04-26 23:17,酒店,失眠,音乐App主动播放,2914,调低音量,,,0.513,True,弱冲突样本，用于鲁棒性评测,放松/减压/深夜EMO,深夜EMO,17,0.74,"周日 深夜 23:17，地点类型=酒店，运动状态=静止，心率=稍高(103bpm,波动)，天气=小雨，光线=暗光，噪音=安静，蓝牙=耳机，网络=wifi，日历=失眠，后续事件=音乐App主动播放"
s00686,user_10,32,男性,母婴用户,家庭睡眠照护,2026-05-20,02:40,2,周三,工作日,凌晨,住宅区,静止,稍高,85,下降,500,好,15,13,26,晴,2,暗光,40,安静,耳机,wifi,,,,,音乐App主动播放,5866,继续播放,,,0.913,False,,放松/减压/深夜EMO,深夜EMO,17,0.92,"周三 凌晨 02:40，地点类型=住宅区，运动状态=静止，心率=稍高(85bpm,下降)，天气=晴，光线=暗光，噪音=安静，蓝牙=耳机，网络=wifi，后续事件=音乐App主动播放"
s00574,user_24,23,女性,女性,情绪和身体舒缓,2026-04-21,07:15,7,周二,工作日,早晨,户外,高速,高,143,稳定,547,好,40,18,2344,小雨,1110,明亮,63,普通,耳机,蜂窝数据,训练,2026-04-21 07:15,户外,训练,运动记录开始,4513,无,,,0.423,False,,健身/跑步,跑步,14,0.92,"周二 早晨 07:15，地点类型=户外，运动状态=高速，心率=高(143bpm,稳定)，天气=小雨，光线=明亮，噪音=普通，蓝牙=耳机，网络=蜂窝数据，日历=训练，后续事件=运动记录开始"
s00399,user_14,28,女性,母婴用户,家庭睡眠照护,2026-05-20,12:01,12,周三,工作日,中午,酒店,慢速,静息,78,上升,353,差,14,12,139,多云,216,室内柔光,32,安静,家用音响,wifi,宝宝睡觉,2026-05-20 12:01,酒店,宝宝睡觉,白噪音App打开,5074,无,,,0.771,False,,深睡眠/睡午觉/婴儿安睡,婴儿安睡,9,0.92,"周三 中午 12:01，地点类型=酒店，运动状态=慢速，心率=静息(78bpm,上升)，天气=多云，光线=室内柔光，噪音=安静，蓝牙=家用音响，网络=wifi，日历=宝宝睡觉，后续事件=白噪音App打开"
s00604,user_23,18,男性,学生,学习专注,2026-05-15,20:09,20,周五,工作日,晚上,住宅区,静止,静息,65,波动,288,好,41,12,9,多云,1022,明亮,34,安静,耳机,wifi,拉伸,2026-05-15 20:09,住宅区,拉伸,健身App瑜伽课程,1705,发起导航,,,0.866,False,,瑜伽/冥想,瑜伽,15,0.92,"周五 晚上 20:09，地点类型=住宅区，运动状态=静止，心率=静息(65bpm,波动)，天气=多云，光线=明亮，噪音=安静，蓝牙=耳机，网络=wifi，日历=拉伸，后续事件=健身App瑜伽课程"
s00454,user_16,42,男性,养宠物,陪伴和放松,2026-05-09,19:18,19,周六,周末,晚上,公园,静止,静息,60,波动,350,好,18,17,16,小雨,337,室内柔光,65,普通,家用音响,蜂窝数据,,,,,音乐App主动播放,138,收藏,婴儿安睡,宠物陪伴,0.266,False,,人群专属,宠物陪伴,11,0.82,"周六 晚上 19:18，地点类型=公园，运动状态=静止，心率=静息(60bpm,波动)，天气=小雨，光线=室内柔光，噪音=普通，蓝牙=家用音响，网络=蜂窝数据，后续事件=音乐App主动播放"
s00656,user_24,26,女性,任意,日常音乐推荐,2026-05-13,06:39,6,周三,工作日,早晨,住宅区,静止,静息,75,上升,493,差,4,13,19,多云,149,室内柔光,43,安静,耳机,wifi,,,,,健康App呼吸训练,1401,继续播放,,,0.456,False,,瑜伽/冥想,冥想,16,0.92,"周三 早晨 06:39，地点类型=住宅区，运动状态=静止，心率=静息(75bpm,上升)，天气=多云，光线=室内柔光，噪音=安静，蓝牙=耳机，网络=wifi，后续事件=健康App呼吸训练"
s00647,user_17,25,男性,母婴用户,家庭睡眠照护,2026-04-23,07:13,7,周四,工作日,早晨,酒店,静止,静息,76,上升,473,好,35,19,49,多云,62,室内柔光,45,安静,家用音响,wifi,,,,,冥想App打开,1079,无,,,0.865,False,,瑜伽/冥想,冥想,16,0.92,"周四 早晨 07:13，地点类型=酒店，运动状态=静止，心率=静息(76bpm,上升)，天气=多云，光线=室内柔光，噪音=安静，蓝牙=家用音响，网络=wifi，后续事件=冥想App打开"
s00001,user_17,21,男性,学生,学习专注,2026-05-22,15:35,15,周五,工作日,下午,公园,静止,静息,77,稳定,401,好,27,17,59,晴,41,暗光,64,普通,耳机,蜂窝数据,无安排,2026-05-22 15:35,公园,无安排,短视频退出后停留,138,调低音量,图书馆,放松,0.446,False,,放松/减压/深夜EMO,放松,0,0.82,"周五 下午 15:35，地点类型=公园，运动状态=静止，心率=静息(77bpm,稳定)，天气=晴，光线=暗光，噪音=普通，蓝牙=耳机，网络=蜂窝数据，日历=无安排，后续事件=短视频退出后停留"
s00352,user_03,23,女性,学生,学习专注,2026-04-26,13:14,13,周日,周末,中午,酒店,慢速,稍高,110,稳定,276,好,20,21,191,大雪,156,室内柔光,48,普通,耳机,蜂窝数据,项目截止,2026-04-26 13:14,酒店,项目截止,音乐App主动播放,769,发起导航,,,0.257,False,,放松/减压/深夜EMO,减压,8,0.92,"周日 中午 13:14，地点类型=酒店，运动状态=慢速，心率=稍高(110bpm,稳定)，天气=大雪，光线=室内柔光，噪音=普通，蓝牙=耳机，网络=蜂窝数据，日历=项目截止，后续事件=音乐App主动播放"
s00199,user_04,29,女性,女性,情绪和身体舒缓,2026-05-05,21:48,21,周二,工作日,晚上,酒店,静止,稍高,106,上升,377,差,1,11,47,晴,20,暗光,65,普通,耳机,wifi,休息,2026-05-05 21:48,酒店,休息,游戏App前台,2886,调低音量,,,0.607,True,弱冲突样本，用于鲁棒性评测,游戏,游戏,4,0.74,"周二 晚上 21:48，地点类型=酒店，运动状态=静止，心率=稍高(106bpm,上升)，天气=晴，光线=暗光，噪音=普通，蓝牙=耳机，网络=wifi，日历=休息，后续事件=游戏App前台"
s00438,user_10,30,女性,女性,情绪和身体舒缓,2026-04-30,20:17,20,周四,工作日,晚上,酒店,静止,稍高,111,下降,502,好,0,22,23,晴,1199,明亮,60,普通,家用音响,wifi,胎教,2026-04-30 20:17,酒店,胎教,孕期App打开,3434,切歌,,,0.267,False,,人群专属,胎教,10,0.92,"周四 晚上 20:17，地点类型=酒店，运动状态=静止，心率=稍高(111bpm,下降)，天气=晴，光线=明亮，噪音=普通，蓝牙=家用音响，网络=wifi，日历=胎教，后续事件=孕期App打开"
s00663,user_01,35,男性,养宠物,陪伴和放松,2026-05-03,07:43,7,周日,周末,早晨,住宅区,静止,静息,75,波动,481,差,34,11,49,晴,17,暗光,39,安静,耳机,wifi,冥想,2026-05-03 07:43,住宅区,冥想,健康App呼吸训练,1398,收藏,,,0.534,True,弱冲突样本，用于鲁棒性评测,瑜伽/冥想,冥想,16,0.74,"周日 早晨 07:43，地点类型=住宅区，运动状态=静止，心率=静息(75bpm,波动)，天气=晴，光线=暗光，噪音=安静，蓝牙=耳机，网络=wifi，日历=冥想，后续事件=健康App呼吸训练"
s00316,user_01,32,女性,任意,日常音乐推荐,2026-05-14,23:03,23,周四,工作日,深夜,住宅区,静止,静息,73,稳定,425,好,28,20,64,晴,21,暗光,33,安静,家用音响,wifi,,,,,屏幕熄灭后持续播放,61,无,阅读,深睡眠,0.671,False,,深睡眠/睡午觉/婴儿安睡,深睡眠,7,0.82,"周四 深夜 23:03，地点类型=住宅区，运动状态=静止，心率=静息(73bpm,稳定)，天气=晴，光线=暗光，噪音=安静，蓝牙=家用音响，网络=wifi，后续事件=屏幕熄灭后持续播放"
s00421,user_13,22,女性,女性,情绪和身体舒缓,2026-05-10,11:07,11,周日,周末,上午,酒店,慢速,稍高,88,稳定,424,好,27,21,370,多云,1166,明亮,52,普通,耳机,wifi,胎教,2026-05-10 11:07,酒店,胎教,孕期App打开,3491,收藏,,,0.793,False,,人群专属,胎教,10,0.92,"周日 上午 11:07，地点类型=酒店，运动状态=慢速，心率=稍高(88bpm,稳定)，天气=多云，光线=明亮，噪音=普通，蓝牙=耳机，网络=wifi，日历=胎教，后续事件=孕期App打开"
